energy,smiles
-6.5,CCC[C@@H]1C(C[C@H](O)CC)=NNN1Cc1ccc(OCC)cc1
-5.6,CCOC(=O)C(=O)[C@H]1C(C2=C(OC)CCCC2)=NNN1c1ccc(F)c([N+](=O)[O-])c1
-5.6,NCC1=NNN(c2ccc(C(=O)C=O)cc2)[C@@H]1CCc1ccccc1
-6.9,CC(C)(C)OC(=O)NCC1=NNN(c2cccc(CO)c2)[C@@H]1C(=O)O
-7.0,CC[C@H](C)C1=NNN(C[C@@H]2COc3ccccc3O2)[C@H]1C(=O)OC
-6.3,CC(C)(C)[C@H]1C(/C=C/C(=O)O)=NNN1c1cc2c(cc1[N+](=O)[O-])OCCO2
-6.8,OCCC1=NNN(CC2=C[C@H]3NCN=C3C=C2)[C@H]1CN1CCC1
-7.7,C[C@H](CCC1=NNN(CCc2ccc(-c3ncc[nH]3)cc2)[C@H]1C(=O)O)O[C@@H]1CCCCO1
-6.1,CC(C)(O)[C@@H]1C(C[C@]2(C)CC2(C)C)=NNN1c1nncn1NCc1ccc(F)cc1
-6.8,CC(C)(C)OC(=O)NCC1=NNN(c2ccc(F)c([N+](=O)[O-])c2)[C@@H]1CO
-6.0,CC1=NNN(c2ccnc3c(S(C)(=O)=O)cccc23)[C@H]1[C@@]1(O)CCC[C@H]1C
-6.6,CC#CCC1=NNN(c2cccc(CO)c2)[C@@H]1C
-7.5,C=CCNC[C@H]1C(COc2c(C)cccc2C)=NNN1CCCN1NN=C2C=CC=C[C@@H]21
-6.8,CC(C)(C)[C@H]1C(/C=C/C(=O)O)=NNN1CC1=C[C@@H]2NCN=C2C=C1
-6.2,C[C@@H]1C(CC[C@H](O)[C@@H]2CO2)=NNN1c1cc2c(cc1[N+](=O)[O-])OCCO2
-6.0,C#C[C@@](C)(c1ccccc1)N1NN=C(C(=O)O)[C@H]1C(F)(F)F
-5.8,CCN1C2=CC=CCC2=CC=C1N1NN=C(COC[C@H](C)O)[C@@H]1C(C)(C)O
-8.1,OCc1cccc(N2NN=C(C[C@@H](O)c3ccccc3)[C@H]2c2ccccc2)c1
-6.7,CC(=O)CC[C@H](C)[C@H]1C(C)=NNN1C1=CC=C2CC=CC=C2N1C
-7.0,C=C[C@H]1C(CO)=NNN1CC1=C[C@H]2NCN=C2C=C1
-6.3,CCCCC1=NNN(C2=NS(=O)(=O)c3ccccc32)[C@H]1[C@]1(O)C(=O)N(C)c2ccccc21
-6.1,C=C[C@@H]1O[C@H]1[C@H]1C(C2CC2)=NNN1c1cccc2cccnc12
-8.2,Cc1ccc([C@@H]2C(CN)=NNN2CCc2ccc(-c3ncc[nH]3)cc2)c(C)c1
-6.9,NNC(=O)c1ccc(N2NN=C(c3ccccc3)[C@@H]2c2ccccc2[N+](=O)[O-])cc1
-6.5,C#C[C@@](C)(c1ccccc1)N1NN=C(C2CC2)[C@H]1c1ccccc1O
-7.7,OC[C@H]1C(C#C[C@@H](O)c2ccccc2)=NNN1Cc1ccc(-n2cccn2)cc1
-6.3,CC(C)(O)[C@H]1C(c2ccnc3ccccc23)=NNN1c1cc2c(cc1[N+](=O)[O-])OCCO2
-6.6,CC(C)N(CC1=NNN(c2nncn2NCc2ccc(F)cc2)[C@H]1[C@H](C)O)Cc1ccccc1
-5.9,C=CC1=NNN(c2ccc(F)cc2F)[C@H]1C(C)(C)O
-8.1,NNC(=O)c1ccc(N2NN=C(c3ccccc3)[C@H]2C(=O)C#Cc2ccccc2)cc1
-7.6,NNC(=O)c1ccc(N2NN=C(C3(O)CCCC3)[C@@H]2C(F)(F)F)cc1
-7.9,CN(C)/C=C/CC(=O)[C@@H]1C(c2ccccc2)=NNN1C[C@@H]1COc2ccccc2O1
-6.4,CC(C)(O)[C@H]1C(C#CCN2CCOCC2)=NNN1c1ccc(F)cc1F
-6.1,C#CCCC[C@H]1C(CN(C(C)C)C(C)C)=NNN1c1ccc(C(=O)C=O)cc1
-6.6,CN(C)CC1=NNN(c2ccc(CO)cc2)[C@H]1c1ccc(C=C(C#N)C#N)cc1
-7.7,CC1=NNN(C[C@H]2COc3ccccc3O2)[C@H]1[C@@H]1CCCCC1=O
-7.6,CCC1=NNN(CC(=O)c2cccc(F)c2)[C@H]1[C@@H]1CC=CC[C@H]1N
-8.8,CC1(C)CCC[C@@](C)([C@H]2C(CN3CCCC3)=NNN2CCCN2NN=C3C=CC=C[C@@H]32)O1
-8.5,C[C@H]1C(COc2ccc([C@@H](C)O)cc2)=NNN1CC1=C[C@@H]2NCN=C2C=C1
-6.2,COc1ccc([C@@H]2C(CO)=NNN2c2ccc(F)c([N+](=O)[O-])c2)cc1
-7.1,CC1=NNN(CC(=O)c2cccc(F)c2)[C@H]1C(C)(C)N
-7.5,CCOc1ccc(CN2NN=C(CC)[C@H]2[C@@H]2CCC[C@H]2O)cc1
-8.2,CC[C@@H](CO)NCC1=NNN(CC2=C[C@H]3NCN=C3C=C2)[C@H]1c1ccccc1
-5.5,CC[C@H](OC(C)=O)[C@H]1C(CN2CCCCC2)=NNN1c1ccc(F)c([N+](=O)[O-])c1
-7.0,N#Cc1ccc([C@H]2C(c3ccccc3)=NNN2c2cccc(CO)c2)cc1
-6.7,C[C@@](O)(CNC(=O)[C@@H]1C(c2ccccc2)=NNN1c1ccc(F)c([N+](=O)[O-])c1)C1CC1
-7.7,CC1=NNN(c2ccc(C(=O)NN)cc2)[C@@H]1[C@@H](C)Oc1ccccc1
-8.3,Nc1cccc([C@@H]2C(CO)=NNN2CCc2ccc(-c3ncc[nH]3)cc2)c1
-8.0,CC(C)N1C(=O)C(=O)N(CCC2=NNN(CC(=O)c3cccc(F)c3)[C@H]2C)C1=O
-6.8,CC#C[C@]1([C@H]2C(C)=NNN2c2ccc(C(=O)NN)cc2)CCCO1
-6.1,OCCCCC1=NNN(c2nncn2NCc2ccc(F)cc2)[C@H]1[C@H]1CO1
-6.8,N#Cc1cncc([C@H]2C(c3ccccc3)=NNN2c2cccc(CO)c2)c1
-6.1,C#C[C@](C)(c1ccccc1)N1NN=C(CCO)[C@@H]1CC
-7.6,C[C@](O)(c1ccccc1)[C@H]1C(CN2CCOCC2)=NNN1CC1=C[C@@H]2NCN=C2C=C1
-5.9,C#C[C@@](C)(c1ccccc1)N1NN=C(CN2CCCC2)[C@@H]1[C@@](C)(O)c1ccccc1
-5.6,CC[C@@H](OC(C)=O)[C@H]1C(CN2CCOCC2)=NNN1Cc1ccccc1
-6.2,C#C[C@@](C)(c1ccccc1)N1NN=C(CO)[C@@H]1[C@@H](O)c1ccccc1
